image_name,x1,x2,y1,y2
1474723840903DSC08089.png,229.87976,444.97607,90.35239,407.77988
1473231475010DeeplearnS11276.png,80.31378,566.2213,138.55112,347.64948
JPEG_20161205_135307_1000155917326.png,122.28389,486.2423,30.273453,426.31177
JPEG_20160711_123440_1000518778437.png,227.30699,429.48602,95.027985,408.8445
JPEG_20160803_115329_100034020722.png,118.00462,519.24274,31.371735,428.76675
147444974116511473239803010-Mast--Harbour-Men-Blue-Printed-Regular-Boat-Shoes-3651473239802717-2.png,161.97177,338.98483,19.983444,429.7928
JPEG_20160622_110649_1000527459853.png,150.6751,509.25244,141.50208,321.32452
JPEG_20160823_120737_1000784898268.png,85.0742,447.14362,74.84001,377.35162
1480965956645IMG_3094.png,212.06969,503.972,132.91779,371.3935
14732348976417a565e40d545452688130062b267a2d2.png,24.73471,617.6455,-0.81459045,475.3341
1474723374370DSC07852.png,286.64246,412.0191,22.226898,439.94095
JPEG_20160820_111118_100011668802.png,233.51653,379.1853,87.65982,389.87524
JPEG_20160706_105226_100087855419.png,121.71611,449.0495,159.17545,296.07132
JPEG_20160621_155839_100073846506.png,212.4028,440.43094,93.36052,398.74384
1480940089861_R2A1904.png,167.79138,472.74268,178.91672,413.42496
1474637513144DSC06780.png,231.62846,391.6305,66.7336,410.438
JPEG_20161123_170015_1000183903221.png,278.48294,378.49966,21.618652,401.144
JPEG_20161205_152655_1000319785884.png,95.87758,492.83923,51.834335,382.906
14806550588121473324459p2-500x500.png,167.76923,496.7174,30.438782,428.93997
JPEG_20160913_110021_1000554801748.png,117.51944,601.1907,106.84808,344.54437
JPEG_20161028_113656_1000884495593.png,74.92943,525.99536,72.49065,445.54492
1480485006674IMG_20161129_181135.png,34.354797,619.66327,76.221954,390.88675
1468666217374JPEG_20160712_164026_1000951901481.png,62.547333,610.6398,208.31403,292.5348
1475159286472DSC08150.png,251.31497,413.43405,135.95708,404.1449
1473662770499DeeplearnS11593.png,-2.2147217,611.45355,39.28949,439.7392
JPEG_20161121_172423_1000451802749.png,141.43634,537.44727,135.49905,403.8704
JPEG_20160711_112635_1000386061474.png,186.61977,558.93463,181.49176,298.52164
JPEG_20161125_170806_1000294132098.png,186.74257,445.31207,37.4505,426.5596
1473664771684DeeplearnS11641.png,88.40163,554.2639,151.73166,329.28696
JPEG_20161125_142000_1000881308475.png,107.02817,447.8138,37.813675,436.42108
JPEG_20161118_130619_1000234318180.png,196.94545,537.2031,79.68141,387.49182
JPEG_20161126_173920_1000722732321.png,60.312057,521.4088,4.974762,440.5706
1480965914378IMG_3091.png,229.19829,425.552,250.37904,379.90826
JPEG_20161028_113801_1000834228994.png,130.83794,407.79523,102.061615,377.66092
JPEG_20160527_132045_1000754722948.png,168.84496,443.9673,17.563736,451.47223
1474630500639DSC08168.png,72.514755,571.37286,56.797348,443.95697
1480604337122_R2A5871.png,270.44803,493.11032,58.67163,417.745
JPEG_20160526_131015_1000774672877.png,110.582794,499.5347,65.24037,445.7603
